:rec-57648-dup-2:25:f:nathan:koth e:vickery street: :21:07 96 9 5 5706:19871 116:2382793
:rec-57648-dup-2:25:f:nathan:koth e:vickery street: :21:07 96 9 5 5706:19871 116:2382793
:rec-8345-org:  29:f:nicholas:lowe: :vic:58:08 66820045:19830721:1843216
:rec-57648-dup-2:25:f:nathan:koth e:vickery street: :21:07 96 9 5 5706:19871 116:2382793
:rec-8345-org:  29:f:nicholas:lowe: :vic:58:08 66820045:19830721:1843216
:rec-8345-org:  29:f:nicholas:lowe: :vic:58:08 66820045:19830721:1843216
:rec-18287-org:  25:m:chloe:webb:whitton close:nsw:35: : :2819620
:rec-57648-dup-2:25:f:nathan:koth e:vickery street: :21:07 96 9 5 5706:19871 116:2382793
:rec-18287-org:  25:m:chloe:webb:whitton close:nsw:35: : :2819620
:rec-8345-org:  29:f:nicholas:lowe: :vic:58:08 66820045:19830721:1843216
:rec-18287-org:  25:m:chloe:webb:whitton close:nsw:35: : :2819620
:rec-18287-org:  25:m:chloe:webb:whitton close:nsw:35: : :2819620
:rec-15361-org:  28:f:schkirra:corrie:sainsbury street:vic:51:618 45917082:19840305:9506441
:rec-57648-dup-2:25:f:nathan:koth e:vickery street: :21:07 96 9 5 5706:19871 116:2382793
:rec-15361-org:  28:f:schkirra:corrie:sainsbury street:vic:51:618 45917082:19840305:9506441
:rec-8345-org:  29:f:nicholas:lowe: :vic:58:08 66820045:19830721:1843216
:rec-15361-org:  28:f:schkirra:corrie:sainsbury street:vic:51:618 45917082:19840305:9506441
:rec-18287-org:  25:m:chloe:webb:whitton close:nsw:35: : :2819620
:rec-15361-org:  28:f:schkirra:corrie:sainsbury street:vic:51:618 45917082:19840305:9506441
:rec-15361-org:  28:f:schkirra:corrie:sainsbury street:vic:51:618 45917082:19840305:9506441
:rec-34820-org:   :f:joshua:kakko:de gillern place: :13:07 36369419:19510607:4340130
:rec-57648-dup-2:25:f:nathan:koth e:vickery street: :21:07 96 9 5 5706:19871 116:2382793
:rec-34820-org:   :f:joshua:kakko:de gillern place: :13:07 36369419:19510607:4340130
:rec-8345-org:  29:f:nicholas:lowe: :vic:58:08 66820045:19830721:1843216
:rec-34820-org:   :f:joshua:kakko:de gillern place: :13:07 36369419:19510607:4340130
:rec-18287-org:  25:m:chloe:webb:whitton close:nsw:35: : :2819620
:rec-34820-org:   :f:joshua:kakko:de gillern place: :13:07 36369419:19510607:4340130
:rec-15361-org:  28:f:schkirra:corrie:sainsbury street:vic:51:618 45917082:19840305:9506441
:rec-34820-org:   :f:joshua:kakko:de gillern place: :13:07 36369419:19510607:4340130
:rec-34820-org:   :f:joshua:kakko:de gillern place: :13:07 36369419:19510607:4340130
:rec-43639-dup-0: :f:tara:br  :chant street:wa:6 : :1929 1 05:2192655
:rec-57648-dup-2:25:f:nathan:koth e:vickery street: :21:07 96 9 5 5706:19871 116:2382793
:rec-43639-dup-0: :f:tara:br  :chant street:wa:6 : :1929 1 05:2192655
:rec-8345-org:  29:f:nicholas:lowe: :vic:58:08 66820045:19830721:1843216
:rec-43639-dup-0: :f:tara:br  :chant street:wa:6 : :1929 1 05:2192655
:rec-18287-org:  25:m:chloe:webb:whitton close:nsw:35: : :2819620
:rec-43639-dup-0: :f:tara:br  :chant street:wa:6 : :1929 1 05:2192655
:rec-15361-org:  28:f:schkirra:corrie:sainsbury street:vic:51:618 45917082:19840305:9506441
:rec-43639-dup-0: :f:tara:br  :chant street:wa:6 : :1929 1 05:2192655
:rec-34820-org:   :f:joshua:kakko:de gillern place: :13:07 36369419:19510607:4340130
:rec-43639-dup-0: :f:tara:br  :chant street:wa:6 : :1929 1 05:2192655
